"geneSym","LTM_ori","LTM_abs"
"PAQR5",-0.81987823804282,0.81987823804282
"TNS3",0.819173617369274,0.819173617369274
"SPATA7",0.818994833902992,0.818994833902992
"ARHGDIA",-0.818931494702291,0.818931494702291
"EEPD1",0.818905201073782,0.818905201073782
"MAB21L3",0.8182445119186,0.8182445119186
"LOC100996724 /// PDE4DIP",-0.817934492938405,0.817934492938405
"NDE1",-0.81733002899267,0.81733002899267
"VCL",-0.817300806988653,0.817300806988653
"SRRM2",-0.816948179289102,0.816948179289102
"CKAP2L",0.816797230854971,0.816797230854971
"YIPF5",0.815570873259282,0.815570873259282
"GLB1L3",0.815117864252592,0.815117864252592
"TNFAIP8",0.815059970329704,0.815059970329704
"MTMR11",0.81483569467031,0.81483569467031
"H1FX",-0.814620286732739,0.814620286732739
"XKRX",0.814497669503059,0.814497669503059
"LFNG",-0.814427720014044,0.814427720014044
"CARHSP1",0.814380862268769,0.814380862268769
"AGER",0.814310847438258,0.814310847438258
"ZNF540",0.813745360191798,0.813745360191798
"FAM214B",-0.813493343761972,0.813493343761972
"CCDC92",-0.812990891646337,0.812990891646337
"UEVLD",0.812627112901227,0.812627112901227
"ZCCHC2",-0.812275127059348,0.812275127059348
"GCC2 /// RGPD3 /// RGPD4 /// RGPD5 /// RGPD6 /// RGPD8",-0.811808689925336,0.811808689925336
"BHLHE40",-0.811653829931582,0.811653829931582
"DCLRE1B",-0.810903251715085,0.810903251715085
"LUC7L",0.810775162304316,0.810775162304316
"ANKZF1",0.810552564807368,0.810552564807368
"NEIL3",0.81054318500513,0.81054318500513
"NME4",-0.810053310545835,0.810053310545835
"SCD",-0.810039845319028,0.810039845319028
"ZFAND4",0.810030781690892,0.810030781690892
"SLC6A14",-0.809841958687673,0.809841958687673
"RIOK1",-0.809208461432897,0.809208461432897
"MAT1A",-0.808942492983653,0.808942492983653
"FASN",-0.808311211624085,0.808311211624085
"AURKB",0.807687156184533,0.807687156184533
"MOSPD2",0.807411767879948,0.807411767879948
"NRARP",-0.807338326785646,0.807338326785646
"FAM111A",-0.806734433608815,0.806734433608815
"ARHGAP29",0.806337305702223,0.806337305702223
"SQLE",-0.80611444077133,0.80611444077133
"HMGB3",-0.805966484891544,0.805966484891544
"FUT8",-0.805634930852892,0.805634930852892
"HERC2",-0.80558858583917,0.80558858583917
"TRIM35",-0.805155367681634,0.805155367681634
"MUS81",0.804867578714418,0.804867578714418
"C6orf48",0.804815045334818,0.804815045334818
"HDGFRP3",-0.804466694379108,0.804466694379108
"SYTL1",0.804222931345503,0.804222931345503
"SKA1",0.803777390066891,0.803777390066891
"COPRS",-0.803558278768426,0.803558278768426
"ETNK1",0.803468218768671,0.803468218768671
"SLC7A1",-0.803062039410888,0.803062039410888
"MCM6",-0.802984654064709,0.802984654064709
"LGMN",-0.802892037437897,0.802892037437897
"MXD1",-0.802676151458037,0.802676151458037
"CCNB2",0.802497735234933,0.802497735234933
"GCHFR",0.801862424502128,0.801862424502128
"LMO2",-0.801407045891773,0.801407045891773
"FBXO22",0.801235993308069,0.801235993308069
"AP1S1",-0.800686359434214,0.800686359434214
"KLHL17",0.800199648511274,0.800199648511274
"HOXA4",0.800171258987384,0.800171258987384
"CWF19L2",0.799973007485219,0.799973007485219
"HYLS1",0.799866765408975,0.799866765408975
"ADGRG6",0.799830861310796,0.799830861310796
"OPA1",-0.798932134067679,0.798932134067679
"ESCO2",0.798890045506144,0.798890045506144
"FGD4",-0.798665570201398,0.798665570201398
"FLNA",-0.79864208959403,0.79864208959403
"IFFO2",-0.798529451275952,0.798529451275952
"CFAP97",-0.798229807268838,0.798229807268838
"FAM195B",-0.797771038773013,0.797771038773013
"SEMA7A",0.797461209998572,0.797461209998572
"NDRG4",-0.797443302552757,0.797443302552757
"CYP3A5",0.796866312660319,0.796866312660319
"CYP1A2",0.796606790771603,0.796606790771603
"TNK2",0.79623063670309,0.79623063670309
"RAB3GAP1",-0.796068046167287,0.796068046167287
"LAPTM5",-0.795935624427587,0.795935624427587
"ADRBK2",-0.795649591402871,0.795649591402871
"CREB3L2",-0.795568192517868,0.795568192517868
"PRIMPOL",0.795317364445491,0.795317364445491
"REV1",-0.795295017447431,0.795295017447431
"CYP39A1",0.795290461209567,0.795290461209567
"AZGP1",0.795169374665192,0.795169374665192
"AGAP5",0.794450824076705,0.794450824076705
"LSG1",-0.794077512696791,0.794077512696791
"GOLGA7B",-0.793961940073548,0.793961940073548
"EID3",-0.793892112233809,0.793892112233809
"MAP3K7CL",-0.793661845946008,0.793661845946008
"TMEM98",-0.793504717387181,0.793504717387181
"NR1D1",-0.793304445378124,0.793304445378124
"CSRNP1",-0.792995692366881,0.792995692366881
"HMGCS1",-0.792641186380473,0.792641186380473
"SLC44A3",0.792627767122154,0.792627767122154
"ANP32A",-0.792622141053015,0.792622141053015
"DDX58",0.792520073060731,0.792520073060731
"CARF",0.792404073601805,0.792404073601805
"ZNF586",0.791629136210437,0.791629136210437
"MAOA",-0.791591019570176,0.791591019570176
"IL1R2",0.791542908122168,0.791542908122168
"PLA2G3",-0.791213320122593,0.791213320122593
"HN1",0.790888787875532,0.790888787875532
"MET",0.790652608356436,0.790652608356436
"ZNRF3",-0.790539009663432,0.790539009663432
"SLC24A1",0.790466379566762,0.790466379566762
"EVA1C",-0.790313729467114,0.790313729467114
"AARS",-0.789622728845141,0.789622728845141
"AKR1C3",0.789520631431608,0.789520631431608
"CCDC82",0.789379400994093,0.789379400994093
"CCDC77",0.78936086498429,0.78936086498429
"TNFRSF21",-0.788683309169141,0.788683309169141
"ZNF641",0.788590949050195,0.788590949050195
"SERF1A /// SERF1B",-0.788578067795204,0.788578067795204
"CHST12 /// LOC101927181",-0.788462467936514,0.788462467936514
"TSPAN3",-0.788012537250795,0.788012537250795
